Image,Similarity (%),Remark
09B21488_ss.png,84.62,84.62
09B21494_ss.png,84.62,84.62
09B21420_ss.png,84.62,84.62
09B21551_ss.png,84.62,84.62
09B21524_ss.png,84.62,84.62
50M24159_ss.png,84.62,84.62
50M24131_ss.png,84.62,84.62
09B21612_ss.png,84.62,84.62
09B21428_ss.png,82.69,82.69
09B21507_ss.png,82.69,82.69
09B21442_ss.png,82.69,82.69
50M24139_ss.png,82.69,82.69
09B21539_ss.png,82.69,82.69
09B21448_ss.png,71.15,71.15
09B21478_ss.png,46.30,46.30
50M24137_ss.png,42.37,42.37
09B21430_ss.png,40.38,40.38
09B21531_ss.png,40.32,40.32
09B21600_ss.png,0.60,0.60
